| database |               class | count |
| big_test |             dolphin |   200 |
| big_test |            elephant |   200 |
| big_test |            flatfish |   200 |
| big_test |              forest |   200 |
| big_test |                 fox |   200 |
| big_test |                frog |   200 |
| big_test |                girl |   200 |
| big_test |             hamster |   200 |
| big_test |               horse |   200 |
| big_test |               house |   200 |
| big_test |       jigsaw+puzzle |   200 |
| big_test |            joystick |   200 |
| big_test |            kangaroo |   200 |
| big_test |              kelpie |   200 |
| big_test |              kimono |   200 |
| big_test |            knee+pad |   200 |
| big_test |                knot |   200 |
| big_test |            lab+coat |   200 |
| big_test |               ladle |   200 |
| big_test |                lamp |   200 |
| big_test |           lampshade |   200 |
| big_test |          lawn-mower |   200 |
| big_test |             leopard |   200 |
| big_test |                lion |   200 |
| big_test |              lizard |   200 |
| big_test |             lobster |   200 |
| big_test |             mailbox |   200 |
| big_test |            malinois |   200 |
| big_test |                 man |   200 |
| big_test |       manhole+cover |   200 |
| big_test |               maple |   200 |
| big_test |              maraca |   200 |
| big_test |  miniature+pinscher |   200 |
| big_test |    miniature+poodle |   200 |
| big_test |          motorcycle |   200 |
| big_test |            mountain |   200 |
| big_test |               mouse |   200 |
| big_test |           mushrooms |   200 |
| big_test |                 oak |   200 |
| big_test |             oranges |   200 |
| big_test |             orchids |   200 |
| big_test |               otter |   200 |
| big_test |                palm |   200 |
| big_test |               pears |   200 |
| big_test |        pickup+truck |   200 |
| big_test |                pine |   200 |
| big_test |               plain |   200 |
| big_test |              plates |   200 |
| big_test |             poppies |   200 |
| big_test |           porcupine |   200 |
| big_test |              possum |   200 |
| big_test |              rabbit |   200 |
| big_test |             raccoon |   200 |
| big_test |                 ray |   200 |
| big_test |                road |   200 |
| big_test |              rocket |   200 |
| big_test |               roses |   200 |
| big_test |                 sea |   200 |
| big_test |                seal |   200 |
| big_test |               shark |   200 |
| big_test |                ship |   200 |
| big_test |               shrew |   200 |
| big_test |               skunk |   200 |
| big_test |          skyscraper |   200 |
| big_test |               snail |   200 |
| big_test |               snake |   200 |
| big_test |              spider |   200 |
| big_test |            squirrel |   200 |
| big_test |           streetcar |   200 |
| big_test |          sunflowers |   200 |
| big_test |       sweet+peppers |   200 |
| big_test |               table |   200 |
